config,display,mean_ms,median_ms,mean_docs_per_s
plain-de,Async,3.049094833234752,3.018571499751488,328.6784190820104
plain-de,Baseline,2.918547333289704,2.828442999998515,348.67657478774305
virus-skipgram,Async,3.465304500044416,3.4144814999308437,292.4714525544604
virus-skipgram,Baseline,3.1354206666946993,3.150798999968174,321.43537382043786
